id,name,category_id/id
product.ofm_product_uom_1,ใบ,product.product_uom_categ_unit
product.ofm_product_uom_2,คร.,product.product_uom_categ_unit
product.ofm_product_uom_3,ขวด,product.product_uom_categ_unit
product.ofm_product_uom_4,คู่,product.product_uom_categ_unit
product.ofm_product_uom_5,ชุด,product.product_uom_categ_unit
product.ofm_product_uom_6,ซอง,product.product_uom_categ_unit
product.ofm_product_uom_7,ตัว,product.product_uom_categ_unit
product.ofm_product_uom_8,ตู้,product.product_uom_categ_unit
product.ofm_product_uom_9,ถุง,product.product_uom_categ_unit
product.ofm_product_uom_10,รีม,product.product_uom_categ_unit
product.ofm_product_uom_11,อัน,product.product_uom_categ_unit
product.ofm_product_uom_12,แผง,product.product_uom_categ_unit
product.ofm_product_uom_13,โหล,product.product_uom_categ_unit
product.ofm_product_uom_14,ก้อน,product.product_uom_categ_unit
product.ofm_product_uom_15,ชิ้น,product.product_uom_categ_unit
product.ofm_product_uom_16,ด้าม,product.product_uom_categ_unit
product.ofm_product_uom_17,ตลับ,product.product_uom_categ_unit
product.ofm_product_uom_18,ม้วน,product.product_uom_categ_unit
product.ofm_product_uom_19,หลอด,product.product_uom_categ_unit
product.ofm_product_uom_20,เล่ม,product.product_uom_categ_unit
product.ofm_product_uom_21,เส้น,product.product_uom_categ_unit
product.ofm_product_uom_22,แท่ง,product.product_uom_categ_unit
product.ofm_product_uom_23,แท่น,product.product_uom_categ_unit
product.ofm_product_uom_24,แผ่น,product.product_uom_categ_unit
product.ofm_product_uom_25,แพ็ค,product.product_uom_categ_unit
product.ofm_product_uom_26,กล่อง,product.product_uom_categ_unit
product.ofm_product_uom_27,กระปุก,product.product_uom_categ_unit
product.ofm_product_uom_28,กระป๋อง,product.product_uom_categ_unit
